#delimieter: ,
#columns:type,person1,person2,forum,forum_event,publication,topic,date,lat,lon
#types:STRING,UINT,UINT,UINT,UINT,UINT,UINT,USDATE,DOUBLE,DOUBLE
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,1004346153600881042,,12/2/2014,,
Publication,,,,,1433303251800176474,,1/1/2014,,
Publication,,,,,963345652072941810,,3/1/2017,,
ForumEvent,,,1372844135435303981,1651365355351122204,,,1/7/2019,,
ForumEvent,,,1372844135435303981,1060309546214304182,,,1/3/2018,,
ForumEvent,,,1372844135435303981,932362105613871012,,,1/8/2018,,
ForumEvent,,,1372844135435303981,618434247743641149,,,1/8/2018,,
ForumEvent,,,1372844135435303981,1209342585680609487,,,1/10/2018,,
ForumEvent,,,1615340315424362057,1245126351375505703,,,2/13/2018,,
ForumEvent,,,1372844135435303981,581543512052485139,,,2/5/2018,,
ForumEvent,,,1314315120197156050,833681012494554358,,,3/23/2018,,
ForumEvent,,,1615340315424362057,1220295546212024391,,,3/26/2018,,
ForumEvent,,,1372844135435303981,1424263331858043042,,,4/5/2018,,
ForumEvent,,,1615340315424362057,1290121451283392110,,,4/12/2018,,
ForumEvent,,,1427292001647224242,240337224527030225,,,4/24/2018,,
ForumEvent,,,1615340315424362057,440265285168056234,,,5/17/2018,,
ForumEvent,,,1615340315424362057,817526874194673140,,,5/31/2018,,
ForumEvent,,,1314315120197156050,846536331643665114,,,6/12/2018,,
ForumEvent,,,1202482536733844323,1114502034902546550,,,6/14/2018,,
ForumEvent,,,1372844135435303981,1441762191425652442,,,7/8/2018,,
ForumEvent,,,1615340315424362057,128423416112315798,,,7/20/2018,,
ForumEvent,,,1615340315424362057,701755398615636460,,,8/1/2018,,
ForumEvent,,,1314315120197156050,393285992310638641,,,8/12/2018,,
ForumEvent,,,1615340315424362057,420762134340393550,,,9/9/2018,,
ForumEvent,,,1372844135435303981,737353170652104031,,,9/14/2018,,
ForumEvent,,,1615340315424362057,116892402526543412,,,10/13/2018,,
ForumEvent,,,1372844135435303981,1028329324575034354,,,10/20/2018,,
ForumEvent,,,1202482536733844323,1513662032452523252,,,10/30/2018,,
ForumEvent,,,1314315120197156050,803952155714850701,,,11/14/2018,,
ForumEvent,,,1372844135435303981,186108460103013588,,,11/12/2018,,
ForumEvent,,,1615340315424362057,1184855350262395542,,,12/1/2018,,
ForumEvent,,,1372844135435303981,1302313601603127196,,,12/16/2018,,
ForumEvent,,,1615340315424362057,78678286442461987,,,1/11/2019,,
ForumEvent,,,15133734353741126,1285128710332882742,,,1/10/2019,,
ForumEvent,,,1615340315424362057,447169043921403064,,,2/2/2019,,
ForumEvent,,,1372844135435303981,91431002216341149,,,2/13/2019,,
ForumEvent,,,1202482536733844323,1296829658689065159,,,2/13/2019,,
ForumEvent,,,1615340315424362057,877764733212222524,,,3/28/2019,,
ForumEvent,,,1314315120197156050,1614534111336540475,,,3/3/2019,,
ForumEvent,,,1615340315424362057,209800678458482108,,,4/14/2019,,
ForumEvent,,,15133734353741126,1532662490035322233,,,4/1/2019,,
ForumEvent,,,1314315120197156050,321724159614056152,,,5/29/2019,,
ForumEvent,,,1372844135435303981,1512214307542520410,,,5/17/2019,,
ForumEvent,,,1615340315424362057,740410432146852843,,,6/5/2019,,
ForumEvent,,,1372844135435303981,82629615412640377,,,6/24/2019,,
ForumEvent,,,1427292001647224242,936722743217343702,,,6/30/2019,,
ForumEvent,,,1372844135435303981,747423119260925972,,,7/11/2019,,
ForumEvent,,,451888058015735870,541215404780905313,,,7/3/2019,,
ForumEvent,,,1615340315424362057,1424660009578332566,,,8/25/2019,,
ForumEvent,,,1314315120197156050,1282227710122181132,,,8/5/2019,,
ForumEvent,,,1314315120197156050,854149383334143372,,,9/19/2019,,
ForumEvent,,,1615340315424362057,202421472143651025,,,9/21/2019,,
ForumEvent,,,353365307219544531,956704137555154092,,,10/17/2019,,
ForumEvent,,,,1142353335442842612,,,10/2/2019,,
ForumEvent,,,,1417645062678302203,,,10/27/2019,,
ForumEvent,,,,691612430615344311,,,11/18/2019,,
ForumEvent,,,,499518911125406276,,,11/7/2019,,
ForumEvent,,,,802203574353867462,,,12/26/2019,,
ForumEvent,,,,1154045191214226005,,,12/19/2019,,
Forum,,,227560344059645632,,,,,,
Forum,,,642724485236726353,,,,,,
Forum,,,1583773067440233990,,,,,,
Forum,,,353365307219544531,,,,,,
Forum,,,1372844135435303981,,,,,,
Forum,,,817570614729612563,,,,,,
Forum,,,1222966301068614432,,,,,,
Forum,,,254347350613723281,,,,,,
Forum,,,230406515001545612,,,,,,
Forum,,,1561731546512891652,,,,,,
Forum,,,188043543797416114,,,,,,
Forum,,,1083041743586306041,,,,,,
Forum,,,132472381132383125,,,,,,
Forum,,,20118285562646166,,,,,,
Forum,,,555784630220125214,,,,,,
Forum,,,1015255971523263924,,,,,,
Forum,,,1342495276080758813,,,,,,
Forum,,,851350143155248158,,,,,,
Forum,,,1427292001647224242,,,,,,
Forum,,,722051276937327353,,,,,,
Forum,,,1107212912316309796,,,,,,
Forum,,,504490409499070811,,,,,,
Forum,,,15133734353741126,,,,,,
Forum,,,869745302967338810,,,,,,
Forum,,,324124332757504717,,,,,,
Forum,,,852491638004013222,,,,,,
Forum,,,1040437236245414809,,,,,,
Forum,,,442231451428861295,,,,,,
Forum,,,101022092642335391,,,,,,
Forum,,,1037815940207624157,,,,,,
Forum,,,1331941318481662527,,,,,,
Forum,,,1615340315424362057,,,,,,
Forum,,,1425519641234605945,,,,,,
Forum,,,705065952261175094,,,,,,
Forum,,,1314315120197156050,,,,,,
Forum,,,214214821270800149,,,,,,
Forum,,,1361197157264541395,,,,,,
Forum,,,1033538541314217453,,,,,,
Forum,,,565733832133342431,,,,,,
Forum,,,451888058015735870,,,,,,
Forum,,,155345234637251110,,,,,,
Forum,,,1371100161965701220,,,,,,
Forum,,,1307221369082243900,,,,,,
Forum,,,406508153569651122,,,,,,
Forum,,,1202482536733844323,,,,,,
Forum,,,912373284682369433,,,,,,
Person,477384404927196020,,,,,,,,
Person,182010581109145287,,,,,,,,
Topic,,,,,,271997,,,
Topic,,,,,,127197,,,
Person,284405379592161575,,,,,,,,
Topic,,,,,,11650,,,
Topic,,,,,,185785,,,
Topic,,,,,,1907525,,,
Topic,,,,,,1333024,,,
Topic,,,,,,2329,,,
Topic,,,,,,571,,,
Topic,,,,,,56683126,,,
Topic,,,,,,146,,,
Topic,,,,,,487,,,
Topic,,,,,,193294,,,
Topic,,,,,,177,,,
Topic,,,,,,81944,,,
Topic,,,,,,998,,,
Topic,,,,,,55424107,,,
Topic,,,,,,41323,,,
Topic,,,,,,38695,,,
Topic,,,,,,379860,,,
Topic,,,,,,1149078,,,
Topic,,,,,,172809,,,
Topic,,,,,,1642639,,,
Topic,,,,,,903552,,,
Topic,,,,,,204,,,
Topic,,,,,,7817,,,
Topic,,,,,,201816,,,
Topic,,,,,,785,,49.19,-2.11
Topic,,,,,,127,,,
Topic,,,,,,206021,,,
Topic,,,,,,181508,,,
Topic,,,,,,735,,,
Topic,,,,,,304878,,,
Topic,,,,,,7590,,,
Topic,,,,,,8074,,,
Topic,,,,,,24862,,,
Topic,,,,,,35127,,,
Topic,,,,,,60,,40.67,-73.94
Topic,,,,,,443533,,,
Person,1160244137181801222,,,,,,,,
Topic,,,,,,192242,,,
Topic,,,,,,11707,,,
Topic,,,,,,73843,,,
Topic,,,,,,505619,,,
Topic,,,,,,158668,,,
Topic,,,,,,889,,34.0,66.0
Person,895197896920634500,,,,,,,,
Topic,,,,,,18426,,40.84676,-73.873207
Topic,,,,,,787185,,,
Topic,,,,,,467,,,
Person,1419850416906085161,,,,,,,,
Topic,,,,,,2869238,,,
Topic,,,,,,5,,,
Topic,,,,,,334600,,,
Topic,,,,,,191290,,,
Topic,,,,,,122113,,,
Topic,,,,,,179057,,,
Topic,,,,,,11635,,,
Topic,,,,,,329717,,,
Person,33927662206515912,,,,,,,,
Topic,,,,,,35140,,,
Topic,,,,,,485537,,,
Topic,,,,,,102014,,,
Topic,,,,,,40357,,,
Topic,,,,,,1337691,,,
Topic,,,,,,160409,,40.7825,-73.966111111111
Topic,,,,,,69871376,,,
Topic,,,,,,177749,,,
Topic,,,,,,11348,,,
Topic,,,,,,182218,,,
Topic,,,,,,1229,,47.568611111111,40.852783333333
Topic,,,,,,5322,,,
Person,1035098046740791143,,,,,,,,
Topic,,,,,,792565,,48.10277778,20.78388889
Topic,,,,,,37654,,,
Topic,,,,,,25395,,40.735277777778,-74.185
Topic,,,,,,169313,,,
Topic,,,,,,728,,,
Topic,,,,,,699385,,,
Topic,,,,,,22983,,,
Person,971383124880710240,,,,,,,,
Person,1010629269012322480,,,,,,,,
Topic,,,,,,11299,,40.728333333333,-73.994166666667
Topic,,,,,,83460,,,
Topic,,,,,,10289,,,
Topic,,,,,,11019,,,
Topic,,,,,,470118,,,
Person,1426050562563532645,,,,,,,,
Person,75415528634186650,,,,,,,,
Person,1001287904525368324,,,,,,,,
Person,242111862342742257,,,,,,,,
Topic,,,,,,11249,,40.747,-73.986
Topic,,,,,,3933135,,,
Topic,,,,,,44311,,,
Person,1025135622623992536,,,,,,,,
Topic,,,,,,37497186,,,
Person,584485814982143221,,,,,,,,
Person,1508332501512270227,,,,,,,,
Topic,,,,,,328473,,40.712,-74.002
Topic,,,,,,25347,,,
Topic,,,,,,175111,,,
Person,1312322776399358210,,,,,,,,
Topic,,,,,,16003594,,,
Topic,,,,,,48789658,,,
Topic,,,,,,8148,,,
Topic,,,,,,9420,,,
Topic,,,,,,771572,,40.699945,-73.950148
Topic,,,,,,5088838,,,
Person,1597454052092354280,,,,,,,,
Person,961135479935321085,,,,,,,,
Topic,,,,,,123705,,,
Topic,,,,,,598435,,,
Topic,,,,,,732934,,,
Person,317248309514344163,,,,,,,,
Person,1524681741257900519,,,,,,,,
Topic,,,,,,254860,,,
Topic,,,,,,335046,,,
Person,534449219561977424,,,,,,,,
Person,1035056342462002945,,,,,,,,
Person,1222330726897222256,,,,,,,,
Person,493345739124130581,,,,,,,,
Topic,,,,,,831691,,,
Topic,,,,,,28321638,,,
Person,682588400093615551,,,,,,,,
Person,920136262355651383,,,,,,,,
Person,351354309273100074,,,,,,,,
Person,495352903902152146,,,,,,,,
Person,211778681592778731,,,,,,,,
Topic,,,,,,1189753,,,
Person,396953035572582107,,,,,,,,
Topic,,,,,,828749,,,
Topic,,,,,,904756,,,
Topic,,,,,,7392008,,,
Topic,,,,,,2566598,,,
Person,363047312690634767,,,,,,,,
Topic,,,,,,618102,,,
Person,205415260510814362,,,,,,,,
Person,1251650482793161774,,,,,,,,
Topic,,,,,,620463,,,
Person,1463522545161373807,,,,,,,,
Person,1150357430325141247,,,,,,,,
Person,674253449444876344,,,,,,,,
Person,1073324208204442390,,,,,,,,
Topic,,,,,,1049632,,40.665352,-73.969264
Topic,,,,,,29171,,,
Person,1637740339335566412,,,,,,,,
Person,524508243055647325,,,,,,,,
Person,320151361710953715,,,,,,,,
Person,128643504412157535,,,,,,,,
Topic,,,,,,361,,,
Person,1243472362254658420,,,,,,,,
Topic,,,,,,617927,,,
Person,1275555184736572954,,,,,,,,
Topic,,,,,,974850,,,
Person,934144115142885657,,,,,,,,
Topic,,,,,,217627,,,
Topic,,,,,,223155,,,
Person,1504217244688272832,,,,,,,,
Person,144548678565311334,,,,,,,,
Person,1400516284533535554,,,,,,,,
Topic,,,,,,14528,,,
Person,1508951542204233332,,,,,,,,
Person,611325512448133762,,,,,,,,
Person,635555368637193420,,,,,,,,
Person,134403203055015143,,,,,,,,
Topic,,,,,,202013,,,
Topic,,,,,,7602643,,,
Topic,,,,,,121765,,40.774444444444,-73.904166666667
Person,765254641650259739,,,,,,,,
Person,975526659664533195,,,,,,,,
Person,273872236541568195,,,,,,,,
Topic,,,,,,557887,,,
Topic,,,,,,774228,,,
Topic,,,,,,46744,,,
Person,352033450190732475,,,,,,,,
Person,841466124620556016,,,,,,,,
Person,1517466541524095404,,,,,,,,
Topic,,,,,,114633,,,
Person,301710390995444087,,,,,,,,
Topic,,,,,,16868955,,,
Person,747231730275042400,,,,,,,,
Person,1164902255571715230,,,,,,,,
Person,291914370254601234,,,,,,,,
Topic,,,,,,247154,,,
Topic,,,,,,519,,,
Topic,,,,,,3303945,,,
Person,1022241560051472272,,,,,,,,
Person,566448585007839403,,,,,,,,
Topic,,,,,,11229,,,
Person,735713441679521195,,,,,,,,
Person,1128501731262832684,,,,,,,,
Person,446962590481145702,,,,,,,,
Person,1125113326787431160,,,,,,,,
Person,437201545096608055,,,,,,,,
Person,940377106445268064,,,,,,,,
Person,1647329525841402942,,,,,,,,
Topic,,,,,,3884230,,,
Topic,,,,,,131191,,,
Person,1376053313411407054,,,,,,,,
Person,1347432655942023365,,,,,,,,
Person,1472154222902711100,,,,,,,,
Person,529550602103217450,,,,,,,,
Topic,,,,,,43035,,,
Topic,,,,,,126095,,,
Topic,,,,,,49088,,40.8075,-73.961944444444
Person,910075513854877065,,,,,,,,
Topic,,,,,,5018694,,40.859105555556,-74.198686111111
Topic,,,,,,2446683,,43.1189,20.0797
Topic,,,,,,2030894,,40.850852,-73.844949
Topic,,,,,,29718382,,,
Topic,,,,,,130965,,40.860833333333,-73.884444444444
Topic,,,,,,167172,,,
Topic,,,,,,2456507,,,
Person,842652402732741813,,,,,,,,
Topic,,,,,,670897,,33.421111111111,-111.93166666667
Topic,,,,,,1436668,,,
Topic,,,,,,753651,,,
Topic,,,,,,7451247,,,
Topic,,,,,,2493,,,
Person,719533111062900642,,,,,,,,
Person,834321901190546647,,,,,,,,
Topic,,,,,,12796,,,
Person,937074421253040138,,,,,,,,
Topic,,,,,,18159587,,,
Person,101810442957214781,,,,,,,,
Topic,,,,,,131401,,,
Topic,,,,,,929920,,,
Topic,,,,,,466439,,,
Topic,,,,,,6498684,,,
Topic,,,,,,206361,,,
Topic,,,,,,41796,,,
Person,1152266442105786574,,,,,,,,
Person,95240187156237415,,,,,,,,
Topic,,,,,,7897553,,,
Topic,,,,,,206887,,,
Topic,,,,,,5405633,,,
Person,1031526243841315760,,,,,,,,
Topic,,,,,,11348540,,,
Topic,,,,,,4198163,,,
Topic,,,,,,16048728,,,
Topic,,,,,,189756,,,
Topic,,,,,,643638,,,
Topic,,,,,,783874,,,
Topic,,,,,,492346,,37.2708,-76.7069
Topic,,,,,,29042975,,,
Topic,,,,,,12103677,,,
Topic,,,,,,2329157,,,
Person,1563598527979706128,,,,,,,,
Topic,,,,,,4442,,,
Person,264075025125849069,,,,,,,,
Person,369370063627142227,,,,,,,,
Person,1300183120520109060,,,,,,,,
Topic,,,,,,18031504,,,
Topic,,,,,,4229887,,,
Person,611117914195523184,,,,,,,,
Topic,,,,,,7543639,,,
Topic,,,,,,13977,,,
Topic,,,,,,18122778,,,
Person,166319955306346577,,,,,,,,
Topic,,,,,,588894,,,
Topic,,,,,,2454265,,,
Person,1547400408884914628,,,,,,,,
Person,373641740834326257,,,,,,,,
Topic,,,,,,5264957,,,
Topic,,,,,,968598,,,
Person,754480939973310112,,,,,,,,
Topic,,,,,,1808877,,,
Person,1443919105364146460,,,,,,,,
Person,735243266472522113,,,,,,,,
Person,1321304826561136177,,,,,,,,
Person,1560601202484151215,,,,,,,,
Person,1403521534163206962,,,,,,,,
Person,231472126788137195,,,,,,,,
Person,208411288512434105,,,,,,,,
Topic,,,,,,7252790,,,
Person,1211456636406749825,,,,,,,,
Person,1071303249530347453,,,,,,,,
Person,1069710216181783510,,,,,,,,
Person,1578613817419480731,,,,,,,,
Person,944546653739552042,,,,,,,,
Topic,,,,,,8856932,,,
Person,616673625330310949,,,,,,,,
Person,1302421465423646583,,,,,,,,
Person,720320812100121121,,,,,,,,
Person,653345304799504620,,,,,,,,
Person,346401281431409585,,,,,,,,
Person,1526112405471861415,,,,,,,,
Person,1501623481588541372,,,,,,,,
Person,312380611598980641,,,,,,,,
Person,1115244423173415593,,,,,,,,
Person,1555348115336584230,,,,,,,,
Person,12321118467056216,,,,,,,,
Person,1352636429150180228,,,,,,,,
Person,725324491051434870,,,,,,,,
Person,846764541256336994,,,,,,,,
Person,140443713446471314,,,,,,,,
Person,1135272113235621141,,,,,,,,
Person,775818654043059161,,,,,,,,
Person,529476525413023401,,,,,,,,
Person,1262668194076216011,,,,,,,,
Person,119474435514352445,,,,,,,,
Person,437573095319558705,,,,,,,,
Person,1035555223142154728,,,,,,,,
Person,556320934631523806,,,,,,,,
Person,1356253242219285320,,,,,,,,
Person,248654236829951090,,,,,,,,
Person,481153633235353485,,,,,,,,
Includes,,,1202482536733844323,1296829658689065159,,,,,
HasTopic,,,,956704137555154092,,335046,,,
HasTopic,,,,1028329324575034354,,1808877,,,
HasTopic,,,,,1004346153600881042,735,,,
Author,1560601202484151215,,,1285128710332882742,,,,,
HasTopic,,,,1513662032452523252,,131401,,,
HasTopic,,,,1302313601603127196,,48789658,,,
HasTopic,,,,1114502034902546550,,40357,,,
Sale,1275555184736572954,1463522545161373807,,,,,8/16/2018,,
HasTopic,,,,78678286442461987,,28321638,,,
HasTopic,,,,854149383334143372,,903552,,,
HasTopic,,,,240337224527030225,,519,,,
HasTopic,,,,116892402526543412,,5264957,,,
HasTopic,,,,202421472143651025,,12103677,,,
HasTopic,,,,393285992310638641,,470118,,,
Author,910075513854877065,,,,102583151124020340,,,,
Sale,1426050562563532645,75415528634186650,,,,,7/29/2018,,
Author,1128501731262832684,,,1513662032452523252,,,,,
